venue_name,venue_lat,venue_lon,capacity,nearest_sensor_id,nearest_sensor_km,nearest_sensor_freeway,sensors_within_2km,sensors_within_5km,osm_query,osm_delta_m,wikidata_delta_m,coord_check,n_events_in_period,inclusion_rule
SAP Center,37.3327,-121.901,17562,402057,0.51,87-S,23,107,"SAP Center, San Jose, California",26.7,13.1,ok,69,nearest sensor <= 15.0 km (events.max_venue_distance_km)
Avaya Stadium,37.3511,-121.9252,18000,400508,0.60,880-S,15,88,"PayPal Park, San Jose, California",52.1,36.7,ok,9,nearest sensor <= 15.0 km (events.max_venue_distance_km)
Levi's Stadium,37.4033,-121.9694,68500,400973,1.63,237-E,4,43,"Levi's Stadium, Santa Clara, California",41.2,54.2,ok,5,nearest sensor <= 15.0 km (events.max_venue_distance_km)
Shoreline Amphitheatre,37.4267,-122.0806,22500,401507,1.56,101-N,4,22,"Shoreline Amphitheatre, Mountain View, California",18.0,12.4,ok,12,nearest sensor <= 15.0 km (events.max_venue_distance_km)
