start_time,end_time,venue_name,venue_lat,venue_lon,expected_attendance,event_type
2017-04-16 13:05,2017-04-16 16:05,AT&T Park,37.7786,-122.3893,41455,MLB
2017-04-16 19:00,2017-04-16 21:30,SAP Center,37.3327,-121.901,17562,NHL
2017-04-17 19:05,2017-04-17 22:05,Oakland Coliseum,37.7516,-122.2006,10406,MLB
2017-04-18 19:00,2017-04-18 21:30,SAP Center,37.3327,-121.901,17562,NHL
2017-04-18 19:05,2017-04-18 22:05,Oakland Coliseum,37.7516,-122.2006,12091,MLB
2017-04-19 12:35,2017-04-19 15:35,Oakland Coliseum,37.7516,-122.2006,14031,MLB
2017-04-19 19:30,2017-04-19 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-04-20 19:05,2017-04-20 22:05,Oakland Coliseum,37.7516,-122.2006,10707,MLB
2017-04-21 19:05,2017-04-21 22:05,Oakland Coliseum,37.7516,-122.2006,15255,MLB
2017-04-22 13:05,2017-04-22 16:05,Oakland Coliseum,37.7516,-122.2006,20722,MLB
2017-04-22 19:30,2017-04-22 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-04-23 13:05,2017-04-23 16:05,Oakland Coliseum,37.7516,-122.2006,24165,MLB
2017-04-24 19:15,2017-04-24 22:15,AT&T Park,37.7786,-122.3893,41399,MLB
2017-04-25 19:15,2017-04-25 22:15,AT&T Park,37.7786,-122.3893,41329,MLB
2017-04-26 19:15,2017-04-26 22:15,AT&T Park,37.7786,-122.3893,41573,MLB
2017-04-27 12:45,2017-04-27 15:45,AT&T Park,37.7786,-122.3893,41580,MLB
2017-04-28 19:15,2017-04-28 22:15,AT&T Park,37.7786,-122.3893,41436,MLB
2017-04-29 18:05,2017-04-29 21:05,AT&T Park,37.7786,-122.3893,42862,MLB
2017-04-30 13:05,2017-04-30 16:05,AT&T Park,37.7786,-122.3893,41989,MLB
2017-05-02 19:30,2017-05-02 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-05-04 19:30,2017-05-04 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-05-05 19:05,2017-05-05 22:05,Oakland Coliseum,37.7516,-122.2006,17519,MLB
2017-05-06 18:05,2017-05-06 21:05,Oakland Coliseum,37.7516,-122.2006,16651,MLB
2017-05-06 19:30,2017-05-06 21:30,Avaya Stadium,37.3511,-121.9252,18000,MLS
2017-05-07 13:05,2017-05-07 16:05,Oakland Coliseum,37.7516,-122.2006,23227,MLB
2017-05-08 19:05,2017-05-08 22:05,Oakland Coliseum,37.7516,-122.2006,10292,MLB
2017-05-09 19:05,2017-05-09 22:05,Oakland Coliseum,37.7516,-122.2006,11383,MLB
2017-05-10 12:35,2017-05-10 15:35,Oakland Coliseum,37.7516,-122.2006,11061,MLB
2017-05-11 19:15,2017-05-11 22:15,AT&T Park,37.7786,-122.3893,41193,MLB
2017-05-12 19:15,2017-05-12 22:15,AT&T Park,37.7786,-122.3893,41325,MLB
2017-05-13 13:05,2017-05-13 16:05,AT&T Park,37.7786,-122.3893,41269,MLB
2017-05-14 12:30,2017-05-14 15:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-05-14 13:05,2017-05-14 16:05,AT&T Park,37.7786,-122.3893,42122,MLB
2017-05-15 19:15,2017-05-15 22:15,AT&T Park,37.7786,-122.3893,41397,MLB
2017-05-16 18:00,2017-05-16 20:30,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-05-16 19:15,2017-05-16 22:15,AT&T Park,37.7786,-122.3893,41366,MLB
2017-05-17 12:45,2017-05-17 15:45,AT&T Park,37.7786,-122.3893,41588,MLB
2017-05-17 19:30,2017-05-17 21:30,Avaya Stadium,37.3511,-121.9252,18000,MLS
2017-05-18 19:05,2017-05-18 22:05,Oakland Coliseum,37.7516,-122.2006,12016,MLB
2017-05-19 18:35,2017-05-19 21:35,Oakland Coliseum,37.7516,-122.2006,24728,MLB
2017-05-20 13:05,2017-05-20 16:05,Oakland Coliseum,37.7516,-122.2006,20235,MLB
2017-05-21 13:05,2017-05-21 16:05,Oakland Coliseum,37.7516,-122.2006,20691,MLB
2017-05-23 19:05,2017-05-23 22:05,Oakland Coliseum,37.7516,-122.2006,12835,MLB
2017-05-24 12:35,2017-05-24 15:35,Oakland Coliseum,37.7516,-122.2006,19738,MLB
2017-05-26 19:15,2017-05-26 22:15,AT&T Park,37.7786,-122.3893,41326,MLB
2017-05-27 19:00,2017-05-27 21:00,Avaya Stadium,37.3511,-121.9252,18000,MLS
2017-05-27 19:05,2017-05-27 22:05,AT&T Park,37.7786,-122.3893,41355,MLB
2017-05-28 13:05,2017-05-28 16:05,AT&T Park,37.7786,-122.3893,42343,MLB
2017-05-29 13:05,2017-05-29 16:05,AT&T Park,37.7786,-122.3893,41969,MLB
2017-05-30 19:15,2017-05-30 22:15,AT&T Park,37.7786,-122.3893,41266,MLB
2017-05-31 19:15,2017-05-31 22:15,AT&T Park,37.7786,-122.3893,41371,MLB
2017-06-01 18:00,2017-06-01 20:30,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-06-02 19:05,2017-06-02 22:05,Oakland Coliseum,37.7516,-122.2006,18000,MLB
2017-06-03 13:05,2017-06-03 16:05,Oakland Coliseum,37.7516,-122.2006,23921,MLB
2017-06-04 13:05,2017-06-04 16:05,Oakland Coliseum,37.7516,-122.2006,21265,MLB
2017-06-04 17:00,2017-06-04 19:30,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-06-05 19:05,2017-06-05 22:05,Oakland Coliseum,37.7516,-122.2006,12890,MLB
2017-06-06 19:05,2017-06-06 22:05,Oakland Coliseum,37.7516,-122.2006,16643,MLB
2017-06-07 12:35,2017-06-07 15:35,Oakland Coliseum,37.7516,-122.2006,15076,MLB
2017-06-09 19:15,2017-06-09 22:15,AT&T Park,37.7786,-122.3893,41046,MLB
2017-06-10 13:05,2017-06-10 16:05,AT&T Park,37.7786,-122.3893,41255,MLB
2017-06-11 13:05,2017-06-11 16:05,AT&T Park,37.7786,-122.3893,41321,MLB
2017-06-12 18:00,2017-06-12 20:30,Oracle Arena,37.7503,-122.2031,19596,NBA
